source,variable,table,description,data_type,logic
survey,work_bike_freq,person,How often person rode a bike or e-bike to work in the past week,integer/categorical,"Daily 1: If employed full/part/self/volunteer and job_type is not ""Work only from home"" or ""Drive/bike/travel for work"""
survey,work_carpool_freq,person,How often person carpooled to work in the past week,integer/categorical,"Daily 1: If employed full/part/self/volunteer and job_type is not ""Work only from home"" or ""Drive/bike/travel for work"""
survey,education,person,Highest level of education completed,integer/categorical,Daily 4
survey,student,person,Student status,integer/categorical,NA
survey,school_type,person,School type attended,integer/categorical,If in school
processing,school_tract_2020,person,School location Census tract 2020,character,If attends school in person
survey,school_freq,person,How often person travels to school,integer/categorical,Daily 1: If adult student in person
survey,remote_class_freq,person,How often person attends classes online,integer/categorical,"Daily 1: If adult student and school_freq is not ""6-7 days"", or if does online school only"
survey,school_mode,person,Typical mode of transportation used in school commute,integer/categorical,"Daily 1: If adult student and school_freq is not ""Never"""
survey,school_mode_driver,person,Who is typically driving this person to school,integer/categorical,"Daily 1: If school_mode is ""Household vehicle as the passenger"""
survey,school_park_ride,person,Uses a park and ride lot at a train during school commute,integer/categorical,"Daily 1: If school_mode is ""Train"""
survey,share_1,person,"Transportation services used in the past 12 months: Uber, Lyft, Via, or other smartphone-app ride service",integer/categorical,Daily 2
survey,share_2,person,Transportation services used in the past 12 months: Taxi,integer/categorical,Daily 2
survey,share_3,person,"Transportation services used in the past 12 months: Carshare (e.g., ZipCar)",integer/categorical,Daily 2
survey,share_4,person,"Transportation services used in the past 12 months: Peer-to-peer car rental (e.g., Turo)",integer/categorical,Daily 2
survey,share_5,person,Transportation services used in the past 12 months: Bikeshare or bike rental service,integer/categorical,Daily 2
survey,share_6,person,Transportation services used in the past 12 months: Vanpool,integer/categorical,Daily 2
survey,share_7,person,"Transportation services used in the past 12 months: Scooter share (e.g., Divvy, Lime)",integer/categorical,Daily 2
survey,share_996,person,Transportation services used in the past 12 months: None of the above,integer/categorical,Daily 2
survey,tnc_freq,person,"How often person uses Uber, Lyft, Via, or a similar app-based ride service",integer/categorical,Daily 2: If uses smartphone-app ride services
survey,taxi_freq,person,How often person uses a taxi,integer/categorical,Daily 2: If uses taxis
survey,bikeshare_freq,person,How often person uses a bicycle from a bikeshare program,integer/categorical,Daily 2: If uses bikeshare
survey,bike_store_1,person,"Typical bike storage location: Inside house/apartment (includes garage, porch, storage area)",integer/categorical,Daily 5: If housheold has at least one bike
survey,bike_store_2,person,Typical bike storage location: Bike rack,integer/categorical,Daily 5: If housheold has at least one bike
survey,bike_store_3,person,Typical bike storage location: Bike locker,integer/categorical,Daily 5: If housheold has at least one bike
survey,bike_store_4,person,Typical bike storage location: Secured bike room,integer/categorical,Daily 5: If housheold has at least one bike
survey,bike_store_5,person,"Typical bike storage location: Locked to other object (e.g., post, tree)",integer/categorical,Daily 5: If housheold has at least one bike
survey,bike_store_6,person,Typical bike storage location: In a parking garage/lot,integer/categorical,Daily 5: If housheold has at least one bike
